0, 0.438688
1, 0.663774
2, 0.639328
3, 0.648124
4, 0.635863
5, 0.645976
6, 0.648784
7, 1
8, 0.643823
9, 0.34636
10, 0.591361
11, 0.388807
12, 0.142142
13, 0.0771798
14, 0.0820465
15, 0.0925089
16, 0.520131
17, 0.526607
18, 0.564498
19, 0.504847
20, 0.480564
21, 0.476074
22, 0.480692
23, 0.487313
24, 0.480823
25, 0.480633
26, 0.476181
27, 0.479129
28, 0.484887
29, 0.344641
30, 0.376982
31, 0.455417
32, 0.473435
33, 0.478408
34, 0.422301
35, 0.408542
36, 0.408299
37, 0.388435
38, 0.422352
39, 0.431565
40, 0.455417
41, 0.466779
42, 0.444382
43, 0.375384
44, 0.427766
45, 0.357179
46, 0.434958
47, 0.362433
48, 0.235272
49, 0.144093
50, 0.154999
51, 0.239131
52, 0.362647
53, 0.40576
54, 0.427775
55, 0.446223
56, 0.442191
57, 0.355507
58, 0.421234
59, 0.400686
60, 0.409204
61, 0.455673
62, 0.446705
63, 0.344435
64, 0.222117
65, 0.151392
66, 0.32668
67, 0.443484
68, 0.458277
69, 0.476437
70, 0.474984
71, 0.481114
72, 0.488102
73, 0.483551
74, 0.479985
