32,362,1,557,470
33,367,5,518,466
34,355,1,581,461
35,238,0,626,456
36,232,0,592,455
37,226,-1,692,448
38,378,0,529,461
39,363,5,542,465
40,362,0,516,469
41,347,-2,504,441
42,360,1,544,470
43,329,6,545,488
44,306,0,549,485
45,299,4,530,487
46,315,0,567,477
47,332,-3,639,480
48,342,-4,703,478
51,412,1,747,474
52,390,-2,633,492
53,358,1,580,479
54,368,0,552,477
55,369,1,544,479
56,337,1,567,470
57,230,0,703,455
58,213,0,572,455
59,199,3,593,459
60,177,0,635,465
61,353,-2,498,441
62,351,-4,535,481
63,378,5,616,483
64,376,7,712,482
65,447,-4,850,488
